Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C12, C2, C9",0603,4,10uF,
"C10, C14, C15, C3, C5, C6, C8",0603,7,0.1uF,
C11,0603,1,10pF,
C13,0603,1,1.0uF,
C4,0603,1,10nF,
C7,0603,1,22uF,
"D1, D2",0603,2,LED,
"D3, D5, D6, D7",D_SMA,4,SS14,
D4,DIO_PESD0402-140,1,PESD0402-140,
J1,SolderWire-0.5sqmm_1x04_P4.6mm_D0.9mm_OD2.1mm,1,Conn_01x04,
J3,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,1,Battery JST,
J4,U.FL_Hirose_U.FL-R-SMT-1_Vertical,1,GPS Antenna coaxial,
"J6, J7",USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,2,USB_C_Receptacle_USB2.0_16P,
L1,0603,1,2.66Ω,
L2,0603,1,1uH,
Q1,SOP65P640X120-8N,1,FS8205A,
"R1, R2, R5",0603,3,1K,
"R10, R19, R20, R22, R9",0603,5,10K,
R11,0603,1,0,
"R12, R13, R17, R18",0603,4,5.1K,
R14,0603,1,1.13M,
R15,0603,1,200K,
R16,0603,1,1M,
R21,0603,1,91K,
R3,0603,1,3K,
R4,0603,1,100,
R6,0603,1,10,
"R7, R8",0603,2,33,
SW1,SW_SPST_TL3342,1,Boot Button,
SW2,SW_SPST_TL3342,1,Reset Button,
TP1,TestPoint_Pad_D2.0mm,1,3V3,
TP2,TestPoint_Pad_D2.0mm,1,GND,
TP3,TestPoint_Pad_D2.0mm,1,RX0,
TP4,TestPoint_Pad_D2.0mm,1,TX0,
U1,ESP32-C6-MINI-1,1,ESP32-C6-MINI-1,
U2,ublox_MAX,1,MAX-M10S,
U3,SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.41x3.3mm_ThermalVias,1,TP4056-42-ESOP8,
U4,SOT-23-6,1,DW01A,
U5,Texas_S-PWSON-N10_ThermalVias,1,TPS63060,
U6,QFN50P500X500X100-29N,1,CP2102,
